url,date,author,title,text
"http://www.latimes.com/health/la-na-mental-health-20130119,0,7398545.story",2013-01-19 08:00:00,"['Former Staff Writer Noam N. Levey Covered National Healthcare Policy Out Of Washington', 'D.C.', 'For The Los Angeles Times. A Former Investigative', 'Political Reporter', 'He Is A Boston Native', 'A Graduate Of Princeton University. He Joined The Newspaper In', 'Reported Washington To']",Obama intends to fix holes in mental health coverage,"WASHINGTON — When President Obama pledged this week to strengthen the nation’s mental health system to help reduce gun violence, he also implicitly acknowledged that a gap remains in his signature effort to guarantee Americans access to healthcare.

Two landmark laws — including the sweeping 2010 health law — have been enacted since 2008 to improve mental health treatment. But the Obama administration is still writing rules for both measures that will change how insurers deal with millions of Americans who suffer from mental illness and addiction.

Advertisement

That unfinished task has proved extremely fraught, as administration officials struggle to find a balance between the mental health needs of patients and concerns that more government mandates will inflate insurance premiums or complicate implementation of the president’s healthcare law.

“There have been difficult issues to deal with,” Kathleen Sebelius, the secretary of Health and Human Services, acknowledged Friday in an interview.

Obama this week directed Sebelius’ department to quickly complete the regulations that will direct insurers to cover more mental health services. When the 2010 Affordable Care Act is fully implemented next year, millions of Americans stand to gain access to such care for the first time.

Nationwide, more than 45 million adults suffered from some mental illness in 2011, according to an annual survey by the federal Substance Abuse and Mental Health Services Administration. About 11 million had a serious illness, and of those more than 40% did not get care.

Advertisement

Among the biggest barriers to treatment have been cost and limits placed on care by insurance companies.

In 2008, President George W. Bush signed legislation that ended differences in the way health plans treat medical benefits and benefits for people who suffer from mental illness or substance abuse. No longer could health plans charge higher co-payments or deductibles for mental health services or place tighter limits on the number of therapy visits they would cover.

Advertisement

The protections in the Mental Health Parity and Addiction Equity Act applied only to health plans offered by large employers, however. Obama’s health law is slated to extend those protections in 2014 to plans offered by small employers and to insurance that Americans buy on their own.

The Obama administration also made it clear this week that Medicaid, which together with the Children’s Health Insurance Program covers more than 65 million mostly poor Americans every year, will also have to offer equivalent mental health benefits.

Advertisement

“This was a giant step forward,” said Carol McDaid, a lobbyist who has been working for nearly two decades to expand protections for the mentally ill.

It remains unclear how the Obama administration will resolve a debate over how much information insurance plans must reveal about the way they structure their mental health and medical benefits.

Advertisement

For example, insurance companies sometimes require prior authorization for some treatments, or they may limit provider networks or require patients to undergo less costly treatments first.

But companies do not typically disclose these practices in detail, which can make it difficult for patients to know if insurers are treating mental health benefits differently than medical benefits.

Advertisement

“The consumer is at a complete loss,” said Julie A. Clements, deputy director of regulatory affairs at the American Psychiatric Assn., a leading advocate of more information for consumers.

The insurance industry has resisted more disclosure, however, arguing that outlining these limits would be extremely complicated and unhelpful to consumers.

Advertisement

“We supported the Mental Health Parity Act, and our members are committed to implementing it in the best way for patients,” said Robert Zirkelbach, a spokesman for America’s Health Insurance Plans, an industry trade group. “But comparing a treatment plan for a patient with a mental health condition to one with a medical condition is not as simple as just comparing co-pays.”

Sebelius said Friday that the administration would issue final regulations later this year.

Advertisement

noam.levey@latimes.com"
http://www.foxnews.com/politics/2013/09/27/despite-administration-assurances-some-rates-may-soar-under-obamacare/,2013-09-27 00:00:00,"['Jim Angle', 'Jim Angle Currently Serves As Chief National Correspondent For Fox News Channel', 'Fnc . He Joined Fnc In As A Senior White House Correspondent.']","Despite gov't assurances, some could see insurance costs soar under ObamaCare","While the administration maintains that ObamaCare will make health insurance more affordable for Americans, experts say that won’t be the case across the board – and some people could see their rates soar.

On Wednesday, Health and Human Services Secretary Kathleen Sebelius released an overview of premiums and plan choices, saying “For millions of Americans, these new options will finally make health insurance work within their budgets.”

The administration also said premiums would generally be lower than what congressional budget experts had estimated during debate on the legislation.

But former Congressional Budget Office Director Doug Holtz-Eakin said Thursday, “unfortunately you can go all through that HHS report and not be able to answer the most important question: will my insurance rates go up in 2014?""

""They cherry picked the data in order to highlight the fact that people of low income will benefit under the law,"" adds Avik Roy of the Manhattan Institute for Policy Research, a New York-based think tank. ""But people of middle income will not. And they didn’t really talk about that.""

The new law requires the addition of what it calls essential benefits -- a list of things that must be covered and which make insurance more expensive than it is now.

""This report is intended to send the message, 'hey everybody wins, this is a great thing, please show up,""says Holtz-Eakin.

""That's not the reality. The reality is much messier. There's going to be some people who do better. There are going to be a lot of people who do much, much worse.""

The Manhattan Institute analyzed rates around the country and found that for people of medium income, costs will soar -- up by as much as 99 percent for men, and up about 55 percent for women.

""Even if the average American gets some subsidy, a partial subsidy,"" says Roy, who authored the study,""that partial subsidy won't be enough to overcome the dramatic increase in the cost of insurance, the underlying cost of insurance ObamaCare imposes on the market.""

But insurance premiums are only one part of the puzzle. Most plans also have very high deductibles.

""Do you have a large deductible?"" asks Holtz-Eakin. ""How much do you have to pay before the insurance starts picking up the cost?""

Analysts expect deductibles to be in the $5,000 to $6,000 range for the lowest level of coverage, the bronze plan.

Dan Mendelson, CEO and founder at Avalere Health in Washington,says,""So, if you're in a bronze plan, the premiums are going to be relatively low, you know, as HHS said, in some cases people won't pay premiums at all.

“But there are going to be very high out of pocket costs and deductibles in some cases are going to be over $5,500.""

That means a person with a plan at that level might only pay $100 dollars a month in premiums, as the administration has said.

But depending on medical events, the deductible could add almost $500 dollars a month more, without even counting the co-pays"
http://politicalticker.blogs.cnn.com/2013/11/06/documents-show-first-days-of-obamacare-rollout-worse-than-initially-realized/,2013-11-06 00:00:00,"['Tampa Tim', 'Rudy Nyc', 'The', 'Compassionate', 'Gop Solution', 'Posted By']",Documents show first days of Obamacare rollout worse than initially realized,"7 years ago

Updated 4:19 p.m. ET, 11/6/2013

(CNN) - A stack of daily updates written by Obamacare contractors shows the October rollout hit more walls than previously known: In the first days, half of the calls to the phone center had problems, paper applications could not be processed and up to 40,000 people at a time were sitting in the waiting room of http://www.HealthCare.gov.

The 175 pages of internal updates during the sign-up chronicle the growing ailments and efforts to heal the system during October. The House Oversight and Government Reform Committee, led by Republican Darrell Issa, obtained the documents from contractors involved and released them Wednesday.

""50% of the call center calls have issues,"" reads an entry on day three of the sign-up. ""Anecdotal evidence supports a widerspread problem (with the call centers),"" the October 3 document says.

Phone trouble continued into the next week. ""Our call center reps can't see their screens,"" wrote an unnamed consultant on October 7. ""So we need to train them ... with this issue."" The following day, another note: ""Call Center – Working with them to help them triage their issues.""

At the same time, the paper applications starting to arrive were in limbo. ""Serco still cannot process online the 500+ applications they have,"" reads one line from October 8 war room notes. Serco is the company paid to handle all the paperwork involved with the Affordable Care Acts sign-ups. Website problems meant that Serco, like individual consumers themselves, could not file applications online.

The Department of Health and Human Services points out the problems were at their worst at the beginning and either were fixed or are being fixed. “These are just notes by a contractor,” HHS spokeswoman Joanne Peters wrote to CNN in a statement, stressing that these documents present just one piece of the HealthCare.gov effort. “Many of (the documents) are more than a month old and they reflect static points in time in a fast moving process. We have made significant progress, as we have worked to identify issues, diagnose them and fix them.”

The updates indicate that contractors waited for HHS before directing people to the paper applications. An October 3 entry reads that navigators needed ""approval from leadership"" before directing people to the paper option That approval seemed to come by October 21, when another entry indicates navigators should use the paper forms.

The contractor documents are an up-close look at the asteroid field of issues with the Obamacare launch.

According to the war room notes: On day one, October 1, the system mistakenly rejected 90% of Medicaid applicants. The next day, estimates counted 40,000 people in the HealthCare.gov waiting room, while just 100 people had enrolled. By day three, it was clear that insurers were not getting the data for people who had signed up for their plans.

Systemwide issues were compounded by more isolated problems. On day six, Utah asked to shut down its exchange because the main insurance provider in the state had not been able to set up its template in the system. A few days later, on October 9, contractor notes say that the entire system has skipped some questions or information for 30% of all applicants.

A few days later, and another specific problem: insurers in Oklahoma were confused over whether they had to provide coverage for bariatric weight loss surgery (they didn't, sparking the need for changes to some plans).

Issues continued, but after the first week, the trend turned more positive.

On October 9, the war room update for the morning says, ""About 60% of applicants are getting into HealthCare.gov without sitting in the waiting room."" That left 40% who still had to wait. But the number was a vast improvement from the 90% to 95% percent the week before."
http://www.washingtonpost.com/blogs/wonkblog/wp/2013/05/10/budget-request-denied-sebelius-turns-to-health-executives-to-finance-obamacare/,2013-05-10 00:00:00,['Sarah Kliff'],"Budget request denied, Sebelius turns to health executives to finance Obamacare","""We all have a lot of work to do between now and the Marketplace opening in October,"" Filipic said in a statement. ""That's why it's so important that the public, private and non-profit sectors are coming together to educate consumers about the opportunities that will be available to them later this year. Secretary Sebelius recognizes how important the work Enroll America is doing and we're thrilled to be working with her."""
http://www.huffingtonpost.com/2013/04/30/simple-health-care-form-unveiled-by-obama_n_3184149.html,2013-04-30 00:00:00,"['Sophia Ortega', 'Guest Writer', 'Liann Piazza', 'Juliet James', 'Susanna Maddrigal', 'Associated Press', 'Ryan Grenoble', 'Todd Richmond', 'Ben Finley', 'Jonathan Drew']","HuffPost - Breaking News, U.S. and World News","“I know a con game when I see it,"" the civil rights activist said of police holding on to footage of the shooting."
http://www.dailykos.com/story/2013/11/15/1255822/-The-House-GOP-s-Obamacare-fix-won-t-get-many-Democratic-votes,2013-11-15 00:00:00,"['Backgroundurl Avatar_Large', 'Nickname', 'Joined', 'Created_At', 'Story Count', 'N_Stories', 'Comment Count', 'N_Comments', 'Popular Tags', 'Showtags Popular_Tags']",The House GOP's Obamacare 'fix' won't get many Democratic votes,"Sorry, guys. Your dream of Obamacare repeal hasn't arrived.

Sorry, guys. Your dream of Obamacare repeal hasn't arrived.

As Joan wrote earlier , House Republicans have scheduled a 1PM ET vote on their ""fix"" for health plan cancellations. But even though Republicans claim their bill will achieve a policy goal shared by both congressional Democrats and the White House—allowing people to keep their current health care plans if they want to keep them—it's not going to attract many votes from the Democratic side of the aisle, and the fundamental reason for that is simple: The Republican plan is nothing but Obamacare repeal with a different name, and no matter what Ted Cruz tells himself, Democrats are never going to embrace Obamacare repeal.

Not only would it be political malfeasance for Democrats to run away from Obamacare after spending three years supporting it, running away from the notion that all Americans deserve affordable, quality health insurance would be immoral. That's not to say they won't support changes and adjustments to Obamacare, but the House GOP plan isn't a simple tweak: By allowing insurers to sign up new customers to grandfathered plans, it would create an entirely new health insurance marketplace designed to compete with Obamacare, a marketplace without regulations or protections.

Yes, unregulated plans would probably be cheaper, at least initially, but they'd also be junk, and the costs of the good plans on the exchanges would skyrocket. Moreover, the House GOP plan would keep the mandate in place, so people would be forced to choose between exchange plans (which would be much more expensive than they are now) or junk insurance. It's not hard to see why most House Democrats have figured out it would be insane to vote for this, especially given the fact they are offering an alternative plan that actually would achieve the goal Republicans claim to be pursuing: Allowing existing consumers of health plans to continue their plans if they want.

Unlike the Republican plan, which leaves it up to insurers to decide whether they want to let consumers continue their plan, the House Democratic plan would let consumers make the decision. And it would do it without taking a wrecking a ball to Obamacare. For all the drama and speculation, at the end of the day, what we're going to see is nothing has really changed: Republicans are still fundamentally opposed to Obamacare, both in principle and practice, and Democrats support it."
http://www.usatoday.com/story/news/nation/2013/11/06/aca-young-and-healthy-premiums-mental-health/3326533/,2013-11-06 00:00:00,[],Mental health bills may limit young Americans' clout,"Kelly Kennedy

USA TODAY

Affordable Care Act requires insurers to treat mental health as they would any other ailment

One study showed 18%25 of young patients were diagnosed with mental illness

Average cost of treating mental illness was %247%2C000 a year per patient

WASHINGTON — High mental health costs for young adults threaten to undermine a key assumption of the Affordable Care Act: that insuring more young people will lower costs because they are healthier and require less expensive care.

The Obama administration estimates that 2.7 million people between the ages of 18 and 30 need to buy health insurance through the federal and state marketplaces to offset the health care needs of older Americans buying insurance as required by the Affordable Care Act. But while those younger Americans may not have physical ailments, they are more likely to have mental health issues that will now be treated the same as physical problems because of the law.

An analysis of insurance records of 6.8 million people 18 to 35 years old by data analysis firm BeyondCore showed that 18% had been diagnosed with a mental health condition, such as depression or an eating disorder, said Arijit Sengupta, the company's CEO.

Treating a young person for depression costs about $7,000, the BeyondCore study showed, about the same as the cost for treating an older person for high blood pressure. But doctors diagnose twice as many people with depression as for high blood pressure, Sengupta said.

""The bad news is there has been a mental health epidemic,"" Sengupta said. ""The good news is, if, for no reason other than we get mental health out the shadows, it will be worth it."" He added that catching mental health issues early could save a lot of money in the long run.

The administration's hypothesis about younger insurance customers may be false, Sengupta said. ""Healthy older people may be more important.""

""There's a lot of conventional wisdom about young, healthy people, but I think that's been a little bit overplayed,"" said Jon Kingsdale, who headed up the Massachusetts health exchange. ""The most important thing is to get people enrolled, whether they're young or not. That's the point of the law.""

""We have been encouraged by the significant public interest in coverage available on the marketplace so far; we are focused on reaching, educating and enrolling as many people as possible; and we are confident we will have a balanced risk pool at the end of open enrollment,"" HHS spokeswoman Erin Shields Britt said.

As more people become insured, either by staying on their parents' insurance until age 26 as now allowed under the new law, or because of the requirement to buy insurance beginning in January, more people will be diagnosed with mental health issues, Sengupta said.

The Affordable Care Act requires health insurers to treat mental illnesses as they would other ailments, such as cancer. In the past, insurance companies offered little or no coverage for mental health disorders or offered limited treatment. For example, a person with depression might be covered for six sessions with a therapist, rather than enough sessions to bring the disorder under control.

While the potential for higher mental health treatment costs may reduce the benefit of adding more young people to the insurance pool, Sengupta and others say middle-aged people who exercise, have healthy diets and have preventive exams may be the ones who help the insurance pool the most.

Several people have predicted a ""death spiral,"" or that so many sick people would sign up for the exchanges that they would force premiums up and make them unaffordable for everyone. The law provides some protection against that, including a tax on non-exchange insurance products that will be used to offset rising costs, if necessary. There are also risk-adjustment provisions for the insurers, as well as $10 billion worth of re-insurance in 2014 for those who sign on higher levels of people with chronic conditions.

Also, Kingsdale said, many young insurance customers may receive federal subsidies to help buy insurance, so they could cost the system more than older customers who have more money to buy insurance without subsidies.

""The tax subsidy pays in, so if you're supposed to pay $100 based on your salary, you're going to,"" Kingsdale said. ""There are higher premiums, but not higher prices for individuals — their price is pretty much fixed based on their income.""

That means younger people are more expensive, he said.

Some analysts have predicted the insurance market could go into a ""death spiral"" without enough young insurance customers buying into the market and driving down rates for everyone. If older and less healthy people dominate the insurance pool, they will end up costing more in benefits and insurers will have to raise premiums to compensate for the higher costs.

So far, however, that hasn't been the case, said Jen Mishory, deputy director of the Young Invincibles, a non-profit group dedicated to persuading young people to buy insurance.

""With all the competition that we've seen in the marketplaces, insurers are putting out a price, and then they're putting out a lower price,"" Mishory said. ""So that's going to drive down costs as much as anything.""

""Having young people as part of the pool is important, but the more people you bring in, the less it matters,"" she said."
http://www.usatoday.com/story/news/politics/2013/09/20/house-republicans-defund-obamacare-shutdown/2842199/,2013-09-20 00:00:00,[],House passes spending bill that defunds Obamacare,"Susan Davis

USA TODAY

U.S. House approved a stopgap spending bill aimed at dismantling the president%27s health care law

It faces opposition in the U.S. Senate and a veto threat from President Obama

Without a resolution by Sept. 30%2C the government will shut down on Oct. 1

WASHINGTON — The House voted 230-189 along party lines Friday to approve a stopgap spending bill to fund the federal government through mid-December, but it is facing certain defeat in the Senate because it includes language aiming to dismantle President Obama's health care law.

Just one Republican, Rep. Scott Rigell, R-Va., voted against it and two conservative Democrats, Reps. Jim Matheson of Utah and Mike McIntyre of North Carolina voted in favor.

Without a stopgap spending bill, the federal government will feel the effects of a shutdown when the fiscal year ends on Sept. 30. The bill extends the current rate of government spending at $986 billion a year.

House Republicans attached a provision to defund the Affordable Care Act, a consistent target of congressional Republicans. However, the provision has no chance of approval in the Democratic-controlled Senate and it faces a veto threat from Obama.

Next week, the Senate is expected to begin debate on the spending bill, where Senate Majority Leader Harry Reid, D-Nev., will strip out the health care language and send a bill back to the House that simply extends current spending.

If the Senate runs out the clock on the time for debate, the vote could come as late as next weekend, giving House GOP leaders less than 48 hours to respond.

House Speaker John Boehner, R-Ohio, has not committed to allowing a vote on a spending bill that does not address the health care law. House Republicans will then have three options: reject it, pass it or amend it and send it back to the Senate again.

The effects of a shutdown would not be immediately felt by most Americans. Essential government programs such as air traffic control, Social Security, Medicare and mail delivery would all continue, but national parks and museums would be closed, and agency operations would slow down or stop. The White House and the U.S. Congress would continue to operate as well.

But the political risks are great. The last time the government shut down was during the Clinton administration in a budget battle against Republicans led by then-speaker Newt Gingrich, R-Ga., which resulted in a public backlash against the GOP.

Boehner has said Republicans are not seeking a government shutdown, but eye it as an opportunity to start a broader offensive against the health care law. Republicans are also seeking to delay the implementation of the law for one year in exchange for raising the debt ceiling, the nation's borrowing limit."
http://video.foxnews.com/v/2769870044001/more-americans-enrolling-in-medicaid-than-private-plans/,,[],More Americans enrolling in Medicaid than private plans?,
http://www.breitbart.com/Big-Government/2013/11/04/Obama-Rewrites-History-You-Can-Keep-Your-Plan-if-It-Hasn-t-Changed-Since-the-Law-Passed,2013-11-04 00:00:00,['Tony Lee'],Obama Rewrites History: You Can Keep Your Plan… 'if It Hasn't Changed Since the Law Passed',"Obama explains that when he told Americans they could keep their healthcare plans, “period,” under the Affordable Care Act, he actually meant the promise was conditional.

For the second time in a week, President Barack Obama backtracked on his promise to Americans that they could keep their health insurance plans under Obamacare, telling a group of activists on Monday that what he had really meant was that Americans could keep their healthcare plans “if it hasn’t changed since the law passed.”

Speaking at an Organizing for Action health care summit in Washington, D.C., Obama revised a signature mantra of his stump speeches during the Obamacare debate and the 2012 campaign in which he repeatedly said that under Obamacare, “If you like your plan, you can keep your plan.”

In 2009, the President even cut off the possibility of modifiers to that plan. In a speech to the American Medical Association, he stated, “If you like your healthcare plan, you’ll be able to keep your healthcare plan, period. No one will take it away, no matter what.”

In his Monday speech, however, the promise took on newfound nuance. “Now, if you have or had one of these plans before the Affordable Care Act came into law and you really liked that plan, what we said was you can keep it if it hasn’t changed since the law passed,” Obama said. “So we wrote into the Affordable Care Act, you’re grandfathered in on that plan. But if the insurance company changes it, then what we’re saying is they’ve got to change it to a higher standard.

“They’ve got to make it better, they’ve got to improve the quality of the plan they are selling. That’s part of the promise that we made too. That’s why we went out of our way to make sure that the law allowed for grandfathering.”

In addition to the malfunctioning HealthCare.gov website, millions of Americans have been receiving cancellation notices from their health insurance providers since Obamacare went into effect in October. Mainstream media outlets and personalities–from the Washington Post to MSNBC’s Chuck Todd–that were some of Obama’s fiercest defenders the last four years have called him out on this falsehood, even admitting in hindsight that they were skeptical of Obama’s signature claim.

Obama attempted his first rewrite of history last Wednesday in his healthcare speech at Boston’s Fanueil Hall after Health and Human Services Secretary Kathleen Sebelius was grilled in front of Congress and apologized for Obamacare’s rollout, which she conceded was a “debacle.”

“For the vast majority of people who have health insurance that works, you can keep it,” Obama said last week in Boston. Obama then said that Americans who were receiving cancellation letters merely had “substandard” insurance plans."
